machine,model_version,Balancing_Str,emptyness_version,isVisible_version,Ind-X,model_id,date_trained,val_acc,val_loss,test_acc,test_loss
1080_gpu0,Resnet50,"10,20,30px",Balanced,14,0,0,20210330,0.00,1.0,0.739455,1.0
1080_gpu0,Resnet50,"10,20,30px",Balanced,14,0,0,20210402,0.47645169496536255,6.791538715362549,0.7138857841491699,1.985912799835205
1080_gpu0,Resnet50,"10,20,30px",Balanced,14,0,1,20210404,0.4696294069290161,6.852409362792969,0.7530795335769653,1.911693811416626
1080_gpu0,Resnet50,"10,20,30px",Balanced,14,0,2,20210406,0.4750405251979828,7.087716102600098,0.7362821698188782,1.9408841133117676
1080_gpu0,Resnet50,"10,20,30px",Balanced,14,0,3,20210407,0.4646775424480438,5.828379154205322,0.6998879909515381,1.8264927864074707
1080_gpu0,IsVisible,"10,20,30px",Balanced,14,0,0,20210412,0.5199793577194214,5.981955051422119,0.8226950168609619,1.6533033847808838
1080_gpu0,IsVisible,"10,20,30px",Balanced,14,0,1,20210412,0.5014111399650574,5.587181091308594,0.8133631944656372,1.57541823387146
1080_gpu0,IsVisible,"10,20,30px",Balanced,14,0,2,20210412,0.5088902711868286,5.193521976470947,0.8144829869270325,1.5266870260238647
1080_gpu0,IsVisible,"10,20,30px",Balanced,14,0,3,20210412,0.5005131363868713,6.13214635848999,0.8324001431465149,1.7846983671188354
1080_gpu0,IsVisible,"10,20,30px",Balanced,14,0,4,20210412,0.5210338830947876,5.259670257568359,0.7997387051582336,1.3155776262283325
1080_gpu1,IsVisible,"10,20,30px",Balanced,14,0,0,20210412,0.5192660689353943,5.403061866760254,0.8101903796195984,1.4106318950653076
1080_gpu1,IsVisible,"10,20,30px",Balanced,14,0,1,20210412,0.5078742504119873,6.670755386352539,0.824374794960022,1.8074549436569214
1080_gpu1,IsVisible,"10,20,30px",Balanced,14,0,2,20210412,0.5025759935379028,5.195000171661377,0.8088839054107666,1.451795220375061
1080_gpu1,IsVisible,"10,20,30px",Balanced,14,0,3,20210412,0.5136086344718933,6.072720527648926,0.8269876837730408,1.8046075105667114
1080_gpu1,IsVisible,"10,20,30px",Balanced,14,0,4,20210412,0.5071430206298828,6.119962215423584,0.8249346613883972,1.69461989402771
,autoenc,,,,,,,,,0.587,
,autoenc,,,,,,,,,0.546,
,autoenc,,,,,,,,,0.564,
,autoenc,,,,,,,,,0.565,
,autoenc,,,,,,,,,0.605,
,autoenc,,,,,,,,,0.619,





