482003082910,482003082910,1
482009500017,482009500017,1
505399010153,505399010153,1
5301,5301,287
5303,5303,149
5304,5304,216
5311,5311,297
5313,5313,153
5314,5314,156
5315,5315,1671
5317,5317,164
5322,5322,228
5323,5323,101
5327,5327,59
5328,5328,295
5329,5329,131
5331,5331,114
5332,5332,423
5333,5333,353
5393,5393,19
5395,5395,7
5402,5402,35
5409,5409,268
5414,5414,56
5416,5416,118
5423,5423,55
5425,5425,184
5426,5426,5
5504,5504,75
5519,5519,22
5538,5538,3
5540,5540,2
5542,5542,216
5557,5557,134
5564,5564,84
5568,5568,12
5573,5573,36
5575,5575,103
5578,5578,1
5581,5581,1
5583,5583,56
5584,5584,174
5599,5599,19
5601,5601,11
5614,5614,25
5622,5622,9
5625,5625,2
5637,5637,9
5638,5638,30
5639,5639,25
5641,5641,12
5642,5642,15
5643,5643,2
5645,5645,46
58005,58005,7
58007,58007,21
58014,58014,47
58020,58020,38
58055,58055,1
58063,58063,1
58079,58079,7
58089,58089,1
58115,58115,397
58116,58116,81
58117,58117,21
58122,58122,27
58123,58123,132
58130,58130,111
58133,58133,4
58138,58138,13
58143,58143,18
58145,58145,1
58163,58163,7
58171,58171,23
58172,58172,18
58179,58179,2
58183,58183,15
58198,58198,31
58442,58442,2
58452,58452,1
590025909682,590025909682,1
590075101165,590075101165,1
590095033147,590095033147,3
590113500060,590113500060,1
590503380002,590503380002,1
590519709728,590519709728,2
590519714057,590519714057,1
590519719013,590519719013,2
590519719014,590519719014,1
590519719016,590519719016,3
590519723414,590519723414,2
5905584,5905584,1
590571000273,590571000273,1
590620586573,590620586573,1
590620586835,590620586835,1
590706900001,590706900001,1
590737711026,590737711026,1
590757725611,590757725611,9
590757725674,590757725674,2
590769083249,590769083249,1
590769083909,590769083909,1
590780888915,590780888915,1
590831173201,590831173201,3
594906751181,594906751181,1
599871138892,599871138892,1
643330027597,643330027597,2
643330030021,643330030021,1
643330080022,643330080022,3
731131100543,731131100543,1
761303342828,761303342828,1
761303640227,761303640227,1
761303853885,761303853885,1
763005081563,763005081563,1
800109009307,800109009307,1
801551000160,801551000160,1
8057881,8057881,3
841002105004,841002105004,1
868049584271,868049584271,1
868049584288,868049584288,1
868049584339,868049584339,2
869052951725,869052951725,1
871090845862,871090845862,1
871132735479,871132735479,1
Virti salds kukurzai 450g 1vnt.,890800453910,1
900870011252,900870011252,1
Ilgavaisiai agurkai 1kg,991800200000,1517
Trumpavaisiai agurkai 1216cm 1kg,991800300000,338
Trumpavaisiai agurkai 914cm 1kg,991800900000,1341
Abrikosai 1kg,991802000000,2
Apelsinai 45dyd. 1kg,991804000000,1160
Sveriami fas. apelsinai NAVELINA 1kg dy,991804400000,29
Sveriami raud. apelsinai fas. 1kg,991804600000,5
Arbzai 1kg,991806200000,381
Baklaanai 1kg,991808000000,207
Bananai 1kg,991810000000,4151
vieios bulvs fas. import. 1kg,991816400000,9
Lietuvikos didels bulvs fasuotos 10k,991816600000,192
Lietuvikos bulvs did. fas. 1kg,991816900000,242
991817400000,991817400000,1453
Saldiosios bulvs1 kg,991817500000,127
Fas. plautos bulvs KOLOMBA 60 1kg,991818700000,6
Raudonieji burokliai1kg,991819100000,7
Raudonieji burokliai fas. 1kg.,991819300000,216
Citrinos 34dyd. 1kg,991821000000,2711
aliosios citrinos 1kg,991821300000,85
aliosios cukinijos 1kg,991823000000,444
esnakai 1kg,991825200000,833
Granatai 1kg,991827200000,833
Raudonieji greipfrutai dyd. 24 1kg,991829200000,419
Raudonieji greipfrutai POMELO dyd. 120,991829300000,197
Greipfrutai POMELO dyd. 120170mm 1kg,991829400000,588
Hibridas Tangelas 1 kg,991829500000,1
Imbier aknys 1kg,991832000000,462
Kaliarops 1kg,991836000000,48
Pankoliai 1kg,991836200000,24
Kiviai dyd. 6065  1kg,991838000000,717
991840200000,991840200000,1
Pekininis kopstas 1kg,991840300000,374
Raudongiai kopstai 1kg,991840500000,18
Savoja kopstai1kg,991840700000,3
Baltagiai kopstai 1kg,991840800000,772
Kriaus CONFERENCE dyd. 4555 1kg,991844000000,371
Kriaus CONFERENCE 65 1kg,991844200000,686
Kriaus GUYOT dyd. 60 1kg,991844800000,5
Kriaus RED COMICE 75 1kg,991845700000,59
Kriaus LUCAS 75 1kg,991846200000,9
Lenkikos kriaus CLAPSA 60 1kg,991846500000,148
Mandarinai 45dyd. 1kg,991850000000,2635
Did. mandarinai 12dyd. kg,991850600000,316
Geltoni melionai 1kg,991854000000,278
Melionai PIEL de SAPO 1kg,991854300000,9
Ypat. salds melionai 1 kg,991854400000,2
Moligai 1kg,991854500000,85
Dekoratyviniai moligai 1kg,991854900000,1
Raukltieji melionai Cantaloupe 1kg,991855900000,1
Pastarnokai1kg,991856000000,82
Plautos morkos 1kg,991856200000,3223
Plautos morkos fas. 1kg,991856300000,17
Nektarinai 1kg,991857000000,57
Sveriami fas. liet. obuoliai 55 1kg,991857300000,98
Obuoliai IDARED kg dyd. 801kg,991857700000,90
Obuoliai JONAGOLD 90100 1kg,991858900000,979
Obuoliai GALA dyd. 70 1kg,991860000000,8
Obuoliai CRIPPS PINK dyd. 65 1kg,991860200000,812
Fas. obuoliai CHAMPION 65 1kg,991860300000,89
