18002,18002,1226
18003,18003,295
18009,18009,1092
18040,18040,1037
18044,18044,29
18062,18062,306
18080,18080,169
18100,18100,3441
18164,18164,8
18166,18166,164
18169,18169,220
18174,18174,1214
18175,18175,105
18193,18193,185
18210,18210,2327
18213,18213,70
18230,18230,369
18252,18252,709
18272,18272,704
18292,18292,390
18293,18293,192
18294,18294,503
18320,18320,414
18360,18360,42
18362,18362,22
18380,18380,615
18403,18403,338
18405,18405,15
18408,18408,678
18440,18440,296
18442,18442,626
18448,18448,4
18457,18457,51
18462,18462,2
18465,18465,118
18500,18500,2244
18506,18506,291
18540,18540,242
18543,18543,8
18545,18545,73
18560,18560,64
18562,18562,2857
18563,18563,14
18570,18570,42
18573,18573,77
18577,18577,72
18589,18589,863
18600,18600,4
18602,18602,736
18603,18603,64
18609,18609,57
18617,18617,339
18633,18633,2040
18635,18635,26
18670,18670,84
18674,18674,1162
18675,18675,57
18677,18677,72
18680,18680,190
18681,18681,9
18682,18682,990
18692,18692,1108
18695,18695,28
18696,18696,403
18698,18698,337
18699,18699,588
18710,18710,17
18715,18715,4
18730,18730,89
18750,18750,27
18770,18770,27
18780,18780,218
18790,18790,77
18810,18810,71
18822,18822,1483
18823,18823,389
18825,18825,270
18840,18840,262
18842,18842,22
18843,18843,292
19002,19002,24
19020,19020,13
19041,19041,12
19061,19061,20
19081,19081,27
19082,19082,45
19083,19083,21
19110,19110,26
19111,19111,8
19120,19120,50
19151,19151,28
19161,19161,4
19164,19164,54
19165,19165,15
19166,19166,11
19180,19180,12
19181,19181,12
19200,19200,52
19202,19202,27
19219,19219,5
19220,19220,11
19221,19221,11
19223,19223,16
19225,19225,2
19226,19226,12
19232,19232,11
19260,19260,2
19300,19300,25
19370,19370,5
21005,21005,16
21009,21009,16
21013,21013,10
21016,21016,10
21017,21017,86
21018,21018,6
21021,21021,148
21023,21023,1
21024,21024,13
21026,21026,75
21031,21031,2
21033,21033,12
21034,21034,21
21040,21040,55
21042,21042,13
21058,21058,266
21059,21059,113
21066,21066,9
21075,21075,10
21076,21076,1
21087,21087,13
21088,21088,158
21090,21090,126
21092,21092,170
21093,21093,158
21095,21095,2
21097,21097,191
21098,21098,63
21104,21104,49
21109,21109,294
21112,21112,16
21126,21126,10
21133,21133,29
21134,21134,119
21183,21183,146
21198,21198,9
21231,21231,282
21237,21237,21
21310,21310,49
21317,21317,10
21338,21338,1
21369,21369,13
21377,21377,12
21388,21388,14
21394,21394,19
21398,21398,13
21415,21415,83
21424,21424,156
21425,21425,16
21443,21443,23
21455,21455,219
21459,21459,145
21475,21475,57
21482,21482,24
21484,21484,15
21496,21496,1
21513,21513,12
21516,21516,5
21528,21528,62
21529,21529,26
21690,21690,127
21700,21700,9
21720,21720,18
21730,21730,11
21740,21740,6
21752,21752,19
21754,21754,30
21761,21761,53
21762,21762,29
21764,21764,18
21766,21766,2
21767,21767,11
21772,21772,85
21773,21773,17
21788,21788,220
21801,21801,37
21808,21808,73
21824,21824,75
21825,21825,18
21826,21826,43
21829,21829,50
21832,21832,165
21834,21834,1
21844,21844,37
21848,21848,71
21857,21857,200
21858,21858,23
21867,21867,38
21869,21869,113
21893,21893,154
21914,21914,41
21917,21917,10
21920,21920,168
21922,21922,77
21943,21943,1
21947,21947,49
21948,21948,77
21957,21957,29
21960,21960,38
21962,21962,19
21965,21965,65
21968,21968,2
21972,21972,14
21973,21973,31
21974,21974,66
21987,21987,20
21992,21992,215
21993,21993,167
21997,21997,2
21998,21998,7
21999,21999,28
22015,22015,14
22056,22056,28
22227,22227,2
22628,22628,44
22629,22629,73
22632,22632,11
23683,23683,10
23685,23685,32
23713,23713,1
