Irisas KRĖPYŠ,21023,4
Karamelė VKUSIA MIX,21024,13
Saldainiai CHOCO LUCK su aguonomis,21026,57
Saldainiai PTIJE MOLOKO,21031,4
Saldainiai MURKINY ZABAVY,21033,10
Saldainiai ATTACHE,21034,17
"Saldainiai KOROVKA Sufle,1kg",21040,66
Saldainiai MARMELADUKAI,21042,5
Saldainiai NOMEDA,21058,198
Saldainiai PERGALĖ Cherry,21059,57
Sald.SWEET TRAVEL su karam.ir ž.rieš.,21066,8
Zefyras su sausaniu ŽOZEFINA,21075,11
Sald. MALENKOJE IUDO SLIVONOJE,21076,7
Saldainiai MILK BELL MIX,21087,10
Saulėgrąžų branduolių kozinakas,21088,144
"Saldainiai su likeriu SOSTINĖS, 1kg",21090,54
Saldainiai PUPA,21092,154
Saldainiai RAUDONOJI AGUONA,21093,136
"Karamelė LINKSMOSIOS SKILTELĖS,1kg",21095,7
"Saldainiai VILNIUS, 1kg",21097,97
Saldainiai KREGŽDUTĖ,21098,55
Saldainiai STEP MIX,21104,51
ANANASINIAI saldainiai,21109,232
Saldainiai STEP GRILIAAS,21112,15
Irisai su žel. įd. MINKY-BINKY,21126,11
Saldainiai SOUFFLE SALDI SALA,21133,28
"Saldainiai KRASNAJA ŠAPOČKA,1kg",21134,21
Raugeriškio skonio želiniai saldainiai,21183,125
Saldainiai FRUTLANDIJA,21198,4
Saldainiai POUFFLE,21231,179
Saldainiai ZOLOTOJ KLIUČIK,21237,13
Saldainiai LOIS,21310,72
Saldainiai JOY NUT,21317,5
Saldaini rinkinys SHARLET,21338,7
Saldainiai GOLDEN LILY,21369,19
Saldainiai IO RIO,21377,6
"Saldainiai ZOLUŠKA, 1kg",21388,9
"Saldainiai TOFFE CREAM, 1 kg",21394,17
Karamels skonio sald. ALIONKA 7,21398,12
Saldainiai BON BONEL,21406,4
Saldainiai GLEIS okolado skonio,21415,80
Saldainiai GLEIS griet. skonio,21424,147
Saldainiai VERSAL,21425,10
Citrinų skonio vaflis,21443,16
Saldainiai GULBĖS SAPNAS,21455,198
Sald. BELOVEŽO GIRIA su spang. tyre,21459,169
"Saldainiai KOVBOJ DŽONI,1kg",21475,47
Saldainiai MAMA PRIECHALA,21482,7
"Karamelė SLIVOČNAJA MŪ,1kg",21496,4
Saldainiai MEGA DRIVE,21513,15
Saldainiai COCO JUMBO,21516,5
"Saulėgrąžų chalva su žem.rieš.,1kg",21528,67
Saulėgr.chalva MILK SOFTNESS,21529,23
992169000000,21690,104
Mlyni skonio karamel JAGODNAJA POLIANA,21700,10
Karamel FUNNY BOOM,21720,16
Karamel ANGRY SOUR,21730,10
Saldainiai BONASIE su lazd.rie.,21740,13
Saldainiai BONASIE su apelsinais,21752,20
Saldainiai BONFETTI NUGA,21754,13
Glaistyta vanilinė saulėgražų chalva,21761,53
Saldainiai TRAŠKUSIS VKUSIA,21762,27
Vir. pieno skonio saldainiai VERŽĖ,21764,13
Saldainiai GRUA,21766,7
Saldainiai MANGO,21767,10
Sald. BELOVEO GIRIA su obuol. tyre,21772,93
Sald. NOMEDA Winter time,21773,11
Saldainiai NESTLE LION® MINI,21788,246
Saldainiai KURAGA,21801,29
Saldainiai NOMEDA su imb. ir melionu kg,21808,49
Anyžių skonio karamelė ROSHEN ANIS,21824,67
Saldainiai 'Jelly',21825,12
Saldainiai 'Crazy Bee Frutty',21826,26
Karamelė su pieno įdaru „SWEET DROP“,21829,40
Vafliniai saldainiai LAZY COW,21832,142
Karamelė SLYVA,21834,4
Saldainiai ATTACHE Brownie,21844,38
Saldainiai MIŠKA KOSOLAPYJ,21857,133
Saldainiai IVINKA arbz skonio,21858,25
992186700000,21867,42
Saldainiai ZOLOTAJA LILIJA,21869,116
Vanilinė saulėgražų chalva,21893,148
Saldainiai MILKY SPLASH,21914,37
"Saldainių su įdaru asorti,1kg",21920,139
Saldainiai BOUNTY,21922,28
Saldainiai CAO CACAO TRUFFLE,21943,5
Saldainiai KALD SENELIAI,21947,46
Saldainiai ERNOSLIV,21957,34
Karamelė BARBARIS,21960,31
Karamelė MIATNAJA,21962,12
Saldainiai KORIVKA ROSHEN,21965,46
"Saldainiai KUVŠIN MOLOKA,kg",21968,4
"Irisas KIS KIS, 1kg",21972,14
Saldainiai LA BOHEME PARFE,21973,14
Karamelė su įdaru BIM BOM,21974,65
Saldainiai LOKYS,21987,11
Šok. saldainiai SNICKERS Mini,21992,156
Šok. saldainiai TWIX Mini,21993,134
Glaistyti zefyrai LIANE,21997,7
Karamel ZOLOTOY RACHOK,21998,6
Saldainiai LINKSMŲ ŠVENČIŲ,21999,27
Meduoliai su vyšnių skonio įdaru,22015,17
KIJEVO traškučiai,22056,34
Bananų skonio meduoliai,22227,5
Pyragėliai SKARELĖS su obuolių įdaru,22628,21
Bandelės su lašinukų įdaru,22629,52
Varškinės spurgytės atitirpintos,22632,11
Meduoliai su braškių skonio įdaru,22705,4
Sausainiai Pukite,23683,12
Sausainiai VERNISAŽ,23685,35
Trapūs sausainiai su šokoladu,23713,4
